"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","32/3074","59/9370",0.542372881355932,1.65323158695676,3.51690964482206,0.000533946124213264,0.00262548956239407,0.00144088945844389,"6241/494143/2949/4259/6240/6611/2678/102724197/5226/79017/2941/2539/3418/2937/2729/2946/2947/3417/2944/51056/2950/2730/9446/493869/2936/50484/2878/290/4257/2939/2938/124975",32
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","57/3074","120/9370",0.475,1.44786922576448,3.45014358893411,0.000538561961516732,0.00262548956239407,0.00144088945844389,"5594/596/8767/5879/5295/7531/5607/2932/387/1398/998/5970/3551/5663/397/4893/9261/5906/3845/5604/581/4915/2885/5580/5781/5290/207/6654/1432/801/805/2309/3667/6464/5601/5170/808/5603/396/4790/6196/5600/25/2549/8503/818/9500/1399/10000/673/5664/817/11213/9252/810/4916/7157",57
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","64/3074","138/9370",0.463768115942029,1.41363280623839,3.42036783028354,0.000573829728899216,0.00275909910744691,0.00151421543458625,"5594/32/6009/3991/5584/3643/9470/1977/5295/5500/2932/1398/3551/10580/2203/5105/4893/3845/5499/5604/5571/2885/5573/5290/207/6654/6720/801/805/5575/3667/6464/5601/23433/5170/808/5140/7249/122809/5564/8835/2308/5509/5792/6198/8660/5261/5106/5562/8503/2319/1399/5770/10211/10000/673/9322/5257/9021/5255/810/5565/5577/5567",64
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","100/3074","233/9370",0.429184549356223,1.30821705512941,3.3288866391696,0.000691149444695159,0.00327828993362163,0.00179915147054359,"1278/1281/7058/1277/1293/477/1634/2023/825/1301/1462/3679/7170/4001/6709/633/81624/84823/1290/832/131873/2335/3908/4629/7169/85301/22795/25802/1311/2200/6711/7171/1289/23353/114793/29766/830/6382/1829/3688/10611/171024/3672/161176/83660/71/1282/1756/287/1291/272/2192/4000/5339/3696/1284/4604/79188/829/2273/7057/25777/3680/1824/1605/22801/200539/8082/27295/10398/8572/7111/10529/6712/1466/3694/7136/50509/7168/84033/2318/29767/1288/7138/2199/23500/4627/23002/1730/72/1465/1832/6641/481/6445/6383/3655/3676/3691/8515",100
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","71/3074","157/9370",0.452229299363057,1.37846081165642,3.34146101410408,0.000723209817696324,0.0033846219468188,0.00185750732124108,"714/5175/5594/713/23355/488/1524/7879/5879/948/5878/4035/1398/55754/51552/1788/23166/836/9261/5868/5747/1385/5604/682/5087/5468/6566/5869/5781/6376/811/100133941/4775/7301/2057/102/1432/23200/19/1847/24145/489/5603/4240/7040/4772/51454/84868/961/5627/7057/1374/27072/7376/5600/161291/8754/818/2621/1399/64805/5029/840/405/338382/817/3717/10062/6446/3988/80824",71
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","28/3074","51/9370",0.549019607843137,1.67349177797339,3.36975961961968,0.000907616331070275,0.00419175437112719,0.00230046798595374,"375/528/523/10945/2778/11014/29927/9550/30001/9601/533/51382/527/11015/9296/23480/7082/71/8992/23545/537/9114/526/55176/51606/5578/6558/5567",28
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","30/3074","56/9370",0.535714285714286,1.6329352170276,3.3193370150637,0.00103406465757226,0.00462130884220581,0.00253621088056279,"375/54205/5861/51128/3312/3689/3329/5970/3310/4671/836/4615/3684/56681/3304/3303/841/10767/9554/1915/7415/4790/2920/57396/29108/1917/4791/664/718/840",30
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","19/3074","31/9370",0.612903225806452,1.86821835582513,3.38318552514554,0.00103602648945086,0.00462130884220581,0.00253621088056279,"6731/6726/29927/6728/439/29100/51608/6729/11231/9789/3309/23480/58477/28972/55176/196294/60559/6734/7485",19
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","92/3074","214/9370",0.429906542056075,1.31041779410066,3.20971738429407,0.00104012364254775,0.00462130884220581,0.00253621088056279,"891/9133/1111/983/5594/1072/2773/54205/596/7852/2782/5879/637/6885/5295/6921/1398/9582/5970/3551/8450/5062/836/8454/6500/4893/5747/3845/7188/54331/5604/581/4615/23118/1174/472/2783/5290/2788/207/811/4775/2770/2791/3708/3710/1073/598/1432/801/805/29110/8737/5601/164/841/808/2353/5603/545/7133/4772/59345/9616/2923/3133/4790/3134/10681/2767/5063/5600/6198/6890/25939/1147/8503/8772/5058/10053/1399/5532/3106/10000/3107/5881/3709/5578/8905/567/810/5880",92
"Human Diseases","Infectious disease: viral","hsa05162","Measles","62/3074","136/9370",0.455882352941176,1.3895958513529,3.19782750821107,0.00119142022287955,0.00522735622788404,0.00286881448403893,"54205/596/898/3312/1457/9134/637/1965/4179/6885/5295/2932/5970/3551/1017/3310/3716/6776/836/581/4615/23118/5290/207/598/29110/6774/1019/6777/3304/3303/5601/841/4600/2353/1021/9367/5610/6772/4938/4790/103/4940/4939/7128/3560/3561/3718/25898/1147/595/8503/8772/64135/10379/3665/10000/4599/57506/23586/7157/30835",62
